plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_u,psfmag_g,psfmag_r,psfmag_i,psfmag_z,psfmagErr_u,psfmagErr_g,psfmagErr_r,psfmagErr_i,psfmagErr_z,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
1149,53003,540,1293807477413931008,1237646798138638853,153.2552,6578.477,-0.8150018,3.273962,6489.042,-0.8113753,20.358,19.27858,18.98991,18.9105,18.95697,0.04425858,0.0139391,0.01673587,0.01899887,0.05612316,123.617405943226,0.990221553157367,20.36373,19.27615,18.98816,18.90521,18.94002,1293807477413931008,STAR,F5,0.0004883123,1149,53003,540,0.382,6275,4.03,-0.57,0.0004868542,2.064977E-05
914,52721,525,1029216871406135296,1237648720169730120,-88.64528,5735.692,-0.9295151,3.436088,5712.688,-0.8944688,18.84457,17.63786,17.16561,17.02806,16.98482,0.02142769,0.01876068,0.01106575,0.01106467,0.01924533,209.16301185215,-0.993134684053403,18.84373,17.62629,17.17209,17.03071,16.98388,1029216871406135296,STAR,F9,-0.0002946071,914,52721,525,0,6000,4,0,-0.000320039,9.209982E-06
915,52443,523,1030342216893097984,1237648720170582054,-23.92055,5994.515,-0.8501085,4.188509,5985.591,-0.7489797,18.87185,17.87622,17.46031,17.34173,17.28368,0.01986764,0.02101561,0.01658537,0.01508785,0.01972044,211.047279603534,-0.928000099488953,18.86665,17.84875,17.45906,17.3277,17.2799,1030342216893097984,STAR,F2,-0.0001144974,915,52443,523,0,6000,4,-1,-0.0001041405,1.16223E-05
916,52378,326,1031413964761753600,1237648702978981903,26.46042,5440.788,-1.062133,3.922879,5415.379,-0.9757597,19.18319,18.00576,17.53221,17.40322,17.33256,0.02334765,0.01912376,0.03115587,0.05021993,0.07513772,211.916646774645,-1.14150875804084,19.15412,17.99261,17.49253,17.37712,17.30091,1031413964761753600,STAR,F9,5.958173E-05,916,52378,326,0.613,5324,4.47,-0.75,6.391229E-05,1.039459E-05
916,52378,375,1031427433779193856,1237648702979178647,20.79576,4753.107,-0.8396122,4.252684,4760.214,-0.8396122,21.78452,19.57015,18.83378,18.56403,18.34255,0.2843656,0.1569097,0.1342909,0.137131,0.1196209,212.372915583045,-1.1251649296975,21.81439,19.59609,18.84702,18.57745,18.34883,1031427433779193856,STAR,K3,5.42186E-05,916,52378,375,0,4752,4.641,-0.91,4.5017E-05,1.248694E-05
916,52378,525,1031468665465235456,1237648702979506317,-103.0612,5931.477,-1.478361,4.105319,6052.336,-1.478361,19.93417,19.09535,18.87722,18.83052,18.78099,0.0400002,0.04597153,0.07538557,0.09740978,0.1890691,213.253320772397,-1.12543254001091,19.92327,19.05985,18.86002,18.80447,18.75824,1031468665465235456,STAR,F5,-0.0003381,916,52378,525,0,6000,4,-1.5,-0.0003681252,3.552727E-05
916,52378,533,1031470864488491008,1237648702979440676,75.34959,6377.56,-1.951803,3.921725,6372.305,-2.084836,17.91648,17.02873,16.66726,16.49578,16.49802,0.02464077,0.0202228,0.01891574,0.02729497,0.02366711,213.037268453406,-1.20266628590948,17.89326,16.96401,16.65867,16.50639,16.48509,1031470864488491008,STAR,A0,0.0001213922,916,52378,533,0,6500,4,-2.5,0.000226989,1.443219E-05
3184,54850,380,3584969838361157632,1237645943973609585,-44.57613,5828.644,-1.672055,4.316885,5901.619,-1.535786,20.27686,19.27267,18.76008,18.55187,18.50236,0.04190689,0.02965088,0.02198207,0.03436662,0.03818774,44.2317822231662,0.955137291910918,20.27888,19.24688,18.75989,18.55534,18.4969,3584969838361157632,STAR,F5,-0.0002002291,3184,54850,380,0,6000,4,-1.5,-0.0001730401,1.755229E-05
3184,54850,367,3584966264948367360,1237645943973609599,80.42847,5263.208,-0.5573252,4.357593,5252.153,-0.5724659,19.4652,17.86124,17.24106,16.97134,16.86843,0.02729171,0.02860811,0.02089358,0.03338425,0.02911303,44.2554042347351,1.05497615793861,19.48185,17.89582,17.25847,17.01245,16.8871,3584966264948367360,STAR,K1,0.0002448887,3184,54850,367,0.786,5221,4.5,-0.24,0.0002439303,3.355021E-06
3184,54850,373,3584967914215809024,1237645943973609591,-129.6178,5032.083,-1.331236,2.312795,5052.119,-1.364248,20.31463,18.75137,17.98007,17.66255,17.4597,0.04250329,0.0290222,0.02116222,0.03356298,0.0302891,44.2529311050818,0.919910065177051,20.32457,18.73342,17.98873,17.65988,17.48757,3584967914215809024,STAR,K1,-0.0004402835,3184,54850,373,1.113,4310,1.21,-1.36,-0.0004567085,7.982724E-06
3184,54850,369,3584966814704181248,1237645943973675061,-17.6256,5303.143,-0.7569031,4.468129,5261.347,-0.7900723,17.68249,16.20703,15.58243,15.37259,15.24159,0.01396131,0.02507234,0.02549533,0.02748901,0.02034004,44.3905029817035,0.90330611009382,17.71465,16.20278,15.58864,15.36798,15.23839,3584966814704181248,STAR,F9,-9.822403E-05,3184,54850,369,0.811,5059,4.45,-0.16,-8.314284E-05,2.041887E-06
3185,54829,252,3586060553543589888,1237649961379692591,12.2254,5923.691,-0.8067293,4.120468,5960.374,-0.8111231,17.3989,16.32489,15.85376,15.62737,15.57726,0.03476125,0.01089077,0.01833897,0.02289012,0.02401277,46.1585687111372,-8.43708907966502,17.41903,16.28212,15.83393,15.64063,15.56937,3586060553543589888,STAR,F2,1.319813E-05,3185,54829,252,0.465,5935,4.24,-0.54,1.642936E-05,4.819869E-06
3185,54829,281,3586068525002891264,1237649961379627186,94.00359,5941.436,-1.577436,4.208684,6036.446,-1.577436,20.70064,19.6065,19.11331,18.88633,18.78969,0.07301343,0.02155292,0.02567472,0.01953971,0.05466895,46.0866199297561,-8.42643790779471,20.6964,19.60507,19.10432,18.87889,18.77223,3586068525002891264,STAR,F5,0.0003353322,3185,54829,281,0,6000,4,-1,0.000289212,4.153264E-05
3185,54829,292,3586071548659867648,1237649961379692570,69.65948,5720.013,-0.6251044,4.25514,5758.309,-0.6308572,18.14764,16.83597,16.30803,16.03991,16.01919,0.0358221,0.01101824,0.0183883,0.02292796,0.02433072,46.111863312702,-8.43472954586642,18.13221,16.8026,16.29193,16.06856,16.00395,3586071548659867648,STAR,F9,0.0001941698,3185,54829,292,0.6,5630,4.5,-0.45,0.0002080088,4.821916E-06
