plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_g,psfmag_r,psfmag_i,psfmagErr_g,psfmagErr_r,psfmagErr_i,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
2946,54506,13,3316904774569322496,1237651274026123483,-72.79543,5289.519,-0.6446918,4.489394,5217.401,-0.6950036,19.25359,18.58411,18.28922,0.01932635,0.01967934,0.02132913,111.826459075007,36.8733044171485,20.89219,19.25372,18.59114,18.32487,18.2912,3316904774569322496,STAR,F9,-0.0002772051,2946,54506,13,0.811,5059,4.45,-0.16,-0.0002671696,8.220263E-06
2946,54506,32,3316909997249554432,1237651273489645590,69.61361,5267.935,-0.6544063,4.195707,5263.036,-0.6486568,17.45786,16.87338,16.58538,0.01745644,0.01268376,0.007399882,112.702117722964,37.3645781502056,18.92587,17.45325,16.84863,16.58034,16.45061,3316909997249554432,STAR,F9,0.0001877652,2946,54506,32,0.786,5221,4.5,-0.24,0.0002078558,4.935556E-06
2946,54506,33,3316910272127461376,1237651273489580416,13.14734,6219.229,-1.810822,3.840046,6484.834,-1.60609,19.4882,19.15061,19.02523,0.01698585,0.02089093,0.01687797,112.735449402335,37.2524830844165,20.40757,19.47288,19.14359,19.01262,18.94869,3316910272127461376,STAR,F5,9.852145E-06,2946,54506,33,0,6000,4,-2,1.950463E-05,2.563176E-05
2946,54506,34,3316910547005368320,1237651273489645616,63.63341,4987.415,-0.9495088,4.4179,4974.858,-0.9043669,17.29912,16.62887,16.267,0.0174013,0.01260538,0.007258609,112.683364901557,37.3879199691563,18.97425,17.3276,16.59982,16.28233,16.13659,3316910547005368320,STAR,K3,0.0001853455,2946,54506,34,0.811,5059,4.45,-0.16,0.000187908,2.707774E-06
2946,54506,43,3316913020906530816,1237651274026058089,5.083902,5388.008,-0.4782989,4.273373,5372.708,-0.5027727,19.11426,18.52482,18.27286,0.0174355,0.01520483,0.01595088,111.691195674872,36.6427614205521,20.80027,19.10887,18.52461,18.27131,18.18603,3316913020906530816,STAR,F9,-1.744451E-05,2946,54506,43,0.717,5426,4.5,-0.04,-7.392109E-06,7.815531E-06
2946,54506,45,3316913570662344704,1237651274026057888,47.66439,5501.565,-0.5025163,4.20025,5595.018,-0.4372076,18.77299,18.26369,17.99344,0.0166975,0.01478143,0.01541114,111.776368775853,36.6971796219717,20.24443,18.76359,18.22242,17.96458,17.82874,3316913570662344704,STAR,F9,0.0001211856,2946,54506,45,0.717,5426,4.5,-0.04,0.0001346411,7.49795E-06
2946,54506,52,3316915494807693312,1237651274026123548,53.09271,5932.649,-1.216961,2.580126,5987.14,-1.216961,19.62699,19.19955,18.99347,0.01931263,0.02046013,0.01651887,111.757112332625,36.7500697770013,20.58942,19.62228,19.2018,18.9885,18.9808,3316915494807693312,STAR,F5,0.0001299942,2946,54506,52,0,6000,4,-1.5,0.000152748,2.392905E-05
2946,54506,54,3316916044563507200,1237651274026123535,-28.23927,4481.126,-0.8512669,4.59069,4494.25,-1.054492,17.10005,16.09381,15.64353,0.0152196,0.01710575,0.008219104,111.787033018519,36.7322691740467,19.34222,17.10443,16.09631,15.64091,15.41637,3316916044563507200,STAR,K5,-0.0001160061,2946,54506,54,1.069,4382,4.64,-0.28,-0.0001185463,4.22467E-06
2946,54506,60,3316917693830948864,1237651274026123311,56.90982,6171.135,-0.497615,4.009592,6143.244,-0.5277891,16.28206,15.88739,15.76163,0.01507793,0.0170953,0.008248847,111.720618218018,36.7910275142547,17.38911,16.27212,15.89824,15.75402,15.72225,3316917693830948864,STAR,F2,0.0001641727,2946,54506,60,0,6000,4,-1,0.0001654806,3.815296E-06
2946,54506,85,3316924565778622464,1237651274025927207,-157.5823,5250.214,-1.76707,4.136633,5212.299,-1.76707,19.63998,19.08229,18.87858,0.02157843,0.0153545,0.01991103,111.530504732111,36.4615842115691,21.02865,19.63548,19.07845,18.86451,18.78428,3316924565778622464,STAR,F9,-0.0005437126,2946,54506,85,0.706,5164,3.73,-0.95,-0.0005499881,1.763386E-05
